gene;anchor_index;function
IGHV121|P;297;P
IGHV122|P;281;P
IGHV123|P;285;P
IGHV124|F;282;F
IGHV125|P;333;P
IGHV126|P;297;P
IGHV127|F;285;F
IGHV128|P;285;P
IGHV129|F;303;F
IGHV1210|F;291;F
IGHV1211|F;318;F
IGHV1212|F;291;F
IGHV1215|P;258;P
IGHV1216|P;273;P
IGHV1217|P;309;P
IGHV1218|F;303;F
IGHV1220|F;294;F
IGHV1221|P;266;P
IGHV1222|P;286;P
IGHV1223|P;329;P
IGHV1224|P;303;P
IGHV1225|P;294;P
IGHV1226|F;297;F
IGHV1228|P;270;P
IGHV1231|F;318;F
IGHV1232|P;258;P
IGHV1233|P;282;P
IGHV1234|P;315;P
IGHV1237|F;294;F
IGHV1238|P;261;P
IGHV1239|P;282;P
IGHV1240|F;282;F
IGHV1241|P;309;P
IGHV1242|P;318;P
IGHV1243|P;285;P
IGHV1244|P;303;P
IGHV1245|F;291;F
IGHV1246|P;297;P
IGHV1247|P;279;P
IGHV1248|P;279;P
IGHV1249|P;300;P
IGHV1250|F;297;F
IGHV1251|P;270;P
IGHV1252|F;291;F
IGHV1253|P;267;P
IGHV1254|F;288;F
IGHV1255|P;288;P
IGHV1256|F;297;F
IGHV1257|F;294;F
IGHV1258|P;267;P
IGHV1259|P;267;P
IGHV1260|P;270;P
IGHV1261|P;315;P
IGHV1262|P;285;P
IGHV1263|F;288;F
IGHV1264|F;294;F
IGHV1265|F;288;F
IGHV1266|P;288;P
IGHV1267|P;291;P
IGHV1268|F;291;F
IGHV1269|F;291;F
IGHV1270|P;300;P
IGHV1271|F;288;F
IGHV1272|P;300;P
IGHV1273|F;288;F
IGHV1274|P;276;P
IGHV1275|F;282;F
IGHV1276|F;288;F
IGHV1277|P;246;P
IGHV1278|P;282;P
IGHV1279|P;291;P
IGHV130|P;297;P
IGHV131|F;291;F
IGHV132|F;285;F
IGHV133|P;321;P
IGHV134|P;270;P
IGHV135|P;318;P
IGHV136|F;291;F
IGHV137|P;291;P
IGHV138|F;288;F
IGHV139|F;285;F
IGHV1310|P;297;P
IGHV1311|F;297;F
IGHV1312|F;285;F
IGHV1313|F;309;F
IGHV1314|P;324;P
IGHV1315|F;297;F
IGHV1316|F;270;F
IGHV1317|F;285;F
IGHV1320|F;291;F
IGHV1321|P;291;P
IGHV1322|P;285;P
IGHV1323|F;285;F
IGHV1324|P;342;P
IGHV1325|F;324;F
IGHV1326|F;279;F
IGHV1327|F;291;F
IGHV1328|F;297;F
IGHV1329|F;288;F
IGHV1330|F;291;F
IGHV1331|P;294;P
IGHV1332|F;303;F
IGHV1333|F;288;F
IGHV1334|F;297;F
IGHV1335|F;285;F
IGHV1336|P;261;P
IGHV1337|P;291;P
IGHV1338|F;288;F
IGHV1339|P;297;P
IGHV1340|F;291;F
IGHV1341|P;282;P
IGHV1342|P;282;P
IGHV1343|F;282;F
IGHV1345|P;285;P
IGHV1346|F;330;P
IGHV1347|P;294;P
