gene;anchor_index;function
IMGT000043|oncmyk_IGHV1-13*01|Oncorhynchus mykiss|IGHV1|F|V-REGION;271;F
IMGT000043|oncmyk_IGHV1-18*01|Oncorhynchus mykiss|IGHV1|F|V-REGION  a verifier;277;F
IMGT000043|oncmyk_IGHV1-2*01|Oncorhynchus mykiss|IGHV1|F|V-REGION;271;F
IMGT000043|oncmyk_IGHV1-21*01|Oncorhynchus mykiss|IGHV1|P|V-REGION;277;P
IMGT000043|oncmyk_IGHV1-36*01|Oncorhynchus mykiss|IGHV1|F|V-REGION;271;F
IMGT000043|oncmyk_IGHV1-39*01|Oncorhynchus mykiss|IGHV1|F|V-REGION;271;F
IMGT000043|oncmyk_IGHV1-41*01|Oncorhynchus mykiss|IGHV1|P|V-REGION;277;P
IMGT000043|oncmyk_IGHV1-42*01|Oncorhynchus mykiss|IGHV1|F|V-REGION;277;F
IMGT000043|oncmyk_IGHV10-47*01|Oncorhynchus mykiss|IGHV10|F|V-REGION;274;F
IMGT000044|oncmyk_IGHV10D-26*01|Oncorhynchus mykiss|IGHV10D|F|V-REGION;271;F
IMGT000044|oncmyk_IGHV10D-7*01|Oncorhynchus mykiss|IGHV10D|F|V-REGION;271;F
IMGT000044|oncmyk_IGHV10D-9*01|Oncorhynchus mykiss|IGHV10D|F|V-REGION;271;F
IMGT000043|oncmyk_IGHV11-25*01|Oncorhynchus mykiss|IGHV11|F|V-REGION;271;F
IMGT000044|oncmyk_IGHV12D-36*01|Oncorhynchus mykiss|IGHV12D|F|V-REGION;286;F
IMGT000044|oncmyk_IGHV12D-56*01|Oncorhynchus mykiss|IGHV12D|F|V-REGION;286;F
IMGT000044|oncmyk_IGHV12D-57*01|Oncorhynchus mykiss|IGHV12D|F|V-REGION;286;F
IMGT000044|oncmyk_IGHV12D-71*01|Oncorhynchus mykiss|IGHV12D|F|V-REGION;286;F
IMGT000043|oncmyk_IGHV14-33*01|Oncorhynchus mykiss|IGHV14|P|V-REGION;280;P
IMGT000044|oncmyk_IGHV15D-49*01|Oncorhynchus mykiss|IGHV15D|P|V-REGION;283;P
IMGT000044|oncmyk_IGHV15D-54*01|Oncorhynchus mykiss|IGHV15D|F|V-REGION;283;F
IMGT000044|oncmyk_IGHV15D-69*01|Oncorhynchus mykiss|IGHV15D|P|V-REGION;283;P
IMGT000043|oncmyk_IGHV16-14*01|Oncorhynchus mykiss|IGHV16|ORF|V-REGION;283;ORF
IMGT000043|oncmyk_IGHV16-37*01|Oncorhynchus mykiss|IGHV16|ORF|V-REGION;283;ORF
IMGT000043|oncmyk_IGHV16-38*01|Oncorhynchus mykiss|IGHV16|P|V-REGION;283;P
IMGT000043|oncmyk_IGHV16-9*01|Oncorhynchus mykiss|IGHV16|P|V-REGION;283;P
IMGT000044|oncmyk_IGHV16D-79*01|Oncorhynchus mykiss|IGHV16D|P|V-REGION;283;P
IMGT000044|oncmyk_IGHV1D-12*01|Oncorhynchus mykiss|IGHV1D|P|V-REGION;277;P
IMGT000044|oncmyk_IGHV1D-15*01|Oncorhynchus mykiss|IGHV1D|ORF|V-REGION;274;ORF
IMGT000044|oncmyk_IGHV1D-16*01|Oncorhynchus mykiss|IGHV1D|F|V-REGION;280;F
IMGT000044|oncmyk_IGHV1D-17*01|Oncorhynchus mykiss|IGHV1D|F|V-REGION;274;F
IMGT000044|oncmyk_IGHV1D-35*01|Oncorhynchus mykiss|IGHV1D|F|V-REGION;277;F
IMGT000044|oncmyk_IGHV1D-38*01|Oncorhynchus mykiss|IGHV1D|P|V-REGION;271;P
IMGT000044|oncmyk_IGHV1D-4*01|Oncorhynchus mykiss|IGHV1D|ORF|V-REGION;274;ORF
IMGT000044|oncmyk_IGHV1D-70*01|Oncorhynchus mykiss|IGHV1D|F|V-REGION;277;F
IMGT000044|oncmyk_IGHV1D-73*01|Oncorhynchus mykiss|IGHV1D|F|V-REGION;271;F
IMGT000043|oncmyk_IGHV2-27*01|Oncorhynchus mykiss|IGHV2|P|V-REGION;277;P
IMGT000043|oncmyk_IGHV2-28*01|Oncorhynchus mykiss|IGHV2|F|V-REGION;277;F
IMGT000043|oncmyk_IGHV2-8*01|Oncorhynchus mykiss|IGHV2|F|V-REGION;277;F
IMGT000044|oncmyk_IGHV2D-11*01|Oncorhynchus mykiss|IGHV2D|F|V-REGION;277;F
IMGT000044|oncmyk_IGHV2D-28*01|Oncorhynchus mykiss|IGHV2D|F|V-REGION;277;F
IMGT000044|oncmyk_IGHV2D-50*01|Oncorhynchus mykiss|IGHV2D|P|V-REGION;277;P
IMGT000044|oncmyk_IGHV2D-51*01|Oncorhynchus mykiss|IGHV2D|F|V-REGION;277;F
IMGT000044|oncmyk_IGHV2D-68*01|Oncorhynchus mykiss|IGHV2D|P|V-REGION;277;P
IMGT000043|oncmyk_IGHV3-20*01|Oncorhynchus mykiss|IGHV3|F|V-REGION;280;F
IMGT000044|oncmyk_IGHV3D-30*01|Oncorhynchus mykiss|IGHV3D|ORF|V-REGION;280;ORF
IMGT000043|oncmyk_IGHV4-22*01|Oncorhynchus mykiss|IGHV4|P|V-REGION;271;P
IMGT000044|oncmyk_IGHV4D-13*01|Oncorhynchus mykiss|IGHV4D|P|V-REGION;274;P
IMGT000044|oncmyk_IGHV4D-23*01|Oncorhynchus mykiss|IGHV4D|F|V-REGION;280;F
IMGT000044|oncmyk_IGHV4D-24*01|Oncorhynchus mykiss|IGHV4D|F|V-REGION;280;F
IMGT000044|oncmyk_IGHV4D-37*01|Oncorhynchus mykiss|IGHV4D|P|V-REGION;268;P
IMGT000044|oncmyk_IGHV4D-43*01|Oncorhynchus mykiss|IGHV4D|F|V-REGION;280;F
IMGT000044|oncmyk_IGHV4D-58*01|Oncorhynchus mykiss|IGHV4D|P|V-REGION;268;P
IMGT000044|oncmyk_IGHV4D-60*01|Oncorhynchus mykiss|IGHV4D|F|V-REGION;280;F
IMGT000044|oncmyk_IGHV4D-72*01|Oncorhynchus mykiss|IGHV4D|P|V-REGION;268;P
IMGT000043|oncmyk_IGHV6-31*01|Oncorhynchus mykiss|IGHV6|ORF|V-REGION;271;ORF
IMGT000043|oncmyk_IGHV6-35*01|Oncorhynchus mykiss|IGHV6|F|V-REGION;268;F
IMGT000043|oncmyk_IGHV6-4*01|Oncorhynchus mykiss|IGHV6|F|V-REGION;268;F
IMGT000044|oncmyk_IGHV6D-40*01|Oncorhynchus mykiss|IGHV6D|F|V-REGION;268;F
IMGT000044|oncmyk_IGHV6D-47*01|Oncorhynchus mykiss|IGHV6D|P|V-REGION;268;P
IMGT000044|oncmyk_IGHV6D-5*01|Oncorhynchus mykiss|IGHV6D|F|V-REGION;268;F
IMGT000044|oncmyk_IGHV6D-6*01|Oncorhynchus mykiss|IGHV6D|P|V-REGION;262;P
IMGT000044|oncmyk_IGHV6D-76*01|Oncorhynchus mykiss|IGHV6D|F|V-REGION;268;F
IMGT000044|oncmyk_IGHV7D-44*01|Oncorhynchus mykiss|IGHV7D|ORF|V-REGION;283;ORF
IMGT000044|oncmyk_IGHV7D-45*01|Oncorhynchus mykiss|IGHV7D|ORF|V-REGION;283;ORF
